dim,fs,window,rmse,mape,smape,mae,nrmse,rules
3,30,11826,2.242,0.541,0.29,0.377,0.005,3321
3,30,12483,1.034,0.412,0.205,0.273,0.003,3797
3,30,13140,1.648,0.391,0.188,0.292,0.002,3599
3,30,13797,1.541,1.047,0.509,0.54,0.003,3599
3,30,14454,1.265,0.442,0.216,0.308,0.014,3722
3,30,15111,0.613,0.2,0.094,4.214,0.001,3681
3,30,15768,6.426,2.865,1.139,1.497,0.015,3332
3,30,16425,0.338,0.123,0.061,0.067,0.001,3434
3,30,17082,0.135,0.011,0.005,11.618,0.0,3333
3,30,17739,3.002,1.665,0.761,0.905,0.008,2937
3,30,18396,3.661,1.28,0.599,1.012,0.008,3334
3,30,19053,1.065,0.57,0.282,0.361,0.001,2937
3,40,0,0.25,0.032,0.016,0.028,0.001,4669
3,40,657,4.348,0.748,0.347,0.564,0.005,4115
3,40,1314,0.052,0.005,0.003,0.004,0.0,3754
3,40,1971,0.0,0.0,0.0,0.0,0.0,4291
3,40,2628,3.769,0.453,0.173,0.315,0.007,4077
3,40,3285,0.0,0.0,0.0,0.0,0.0,4161
3,40,3942,0.513,0.223,0.108,0.096,0.001,4406
3,40,4599,0.799,0.11,0.054,0.094,0.001,4769
3,40,5256,3.633,0.863,0.335,0.441,0.007,4696
3,40,5913,0.88,0.638,0.25,11.68,0.001,4988
3,40,6570,0.973,0.416,0.211,0.235,0.002,5025
3,40,7227,0.307,0.088,0.043,0.039,0.001,4439
3,40,7884,0.246,0.038,0.019,0.019,0.0,4518
3,40,8541,0.262,0.089,0.045,0.052,0.0,4456
3,40,9198,0.091,0.028,0.014,0.016,0.0,4097
3,40,9855,0.27,0.063,0.03,0.028,0.001,4661
3,40,10512,0.676,0.164,0.085,0.097,0.001,4425
3,40,11169,0.162,0.049,0.025,0.027,0.003,4852
3,40,11826,0.473,0.161,0.081,0.099,0.001,4089
3,40,12483,0.609,0.166,0.084,0.119,0.002,4637
3,40,13140,1.4,0.153,0.07,0.121,0.002,4215
3,40,13797,1.532,0.625,0.312,0.324,0.003,4341
3,40,14454,0.408,0.106,0.053,0.067,0.005,4583
3,40,15111,0.0,0.0,0.0,4.147,0.0,4614
3,40,15768,0.47,0.189,0.093,0.108,0.001,4215
3,40,16425,0.607,0.149,0.074,0.081,0.002,4317
3,40,17082,0.0,0.0,0.0,11.608,0.0,3933
3,40,17739,3.178,1.523,0.691,0.834,0.009,3668
3,40,18396,3.194,1.176,0.557,0.719,0.007,4061
3,40,19053,0.793,0.33,0.161,0.201,0.001,3465
