variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5.11(t),34.043,23.805,71.014,0.664,22.941,0.133,22.242,14.286,38.777,0.206,7.949,0.04
PM10.11(t),42.691,30.544,59.485,0.579,19.474,0.141,25.429,16.884,25.698,0.239,5.333,0.035
SO2.11(t),10.253,6.974,67.555,0.323,23.694,0.159,11.666,7.697,38.545,0.44,8.199,0.047
NO2.11(t),18.841,14.166,39.158,0.457,15.196,0.163,8.709,6.442,16.765,0.418,3.976,0.056
CO.11(t),564.964,378.866,39.269,0.511,15.473,0.148,439.293,259.021,24.552,0.227,5.973,0.035
O3.11(t),255.092,36.575,160.833,0.545,27.309,0.161,1274.492,107.655,190.026,0.378,12.802,0.062
TEMP.11(t),188.596,98.378,inf,-6.999,26.698,0.326,703.073,360.265,,28.977,29.105,0.641
PRES.11(t),2830.833,239.366,0.222,0.615,0.123,0.131,15491.042,1299.938,0.212,0.386,0.152,0.073
DEWP.11(t),3.236,2.619,inf,0.557,17.9,0.155,3.285,2.938,,0.442,16.838,0.078
RAIN.11(t),0.291,0.087,inf,-1.66,98.853,,0.582,0.129,,7.012,1.824,
WSPM.11(t),0.826,0.604,inf,0.391,18.803,0.154,0.235,0.144,,0.185,3.127,0.022
